job_title,salary_range,company_profile,requirements,fraudulent
Data Analyst,62730 per annum,Reputed IT company with 10 years of experience,"Bachelor's degree, 2+ years experience, strong communication skills",0
Web Developer,51231 per annum,Fast-growing SaaS startup based in India,Excellent communication and multitasking skills,0
Sales Associate,71961 per annum,Global finance corporation with 500+ employees,Excellent communication and multitasking skills,0
Network Administrator,31943 per annum,Leading marketing firm in the US,"Bachelor's degree, 2+ years experience, strong communication skills",0
Network Administrator,48599 per annum,Reputed IT company with 10 years of experience,"Experience in marketing campaigns, content creation",0
Work From Home - Earn $5000 Weekly,24346 per month,Company promises instant returns,"Immediate start, limited positions available",1
Get Paid Daily From Home,32940 per month,Fake testimonials and unverifiable claims,"Immediate start, limited positions available",1
Network Administrator,42495 per annum,Trusted e-commerce platform,"Knowledge of Adobe Photoshop, creativity required",0
Software Engineer,75181 per annum,Reputed IT company with 10 years of experience,"Knowledge of Adobe Photoshop, creativity required",0
Sales Associate,65487 per annum,Reputed IT company with 10 years of experience,Excellent communication and multitasking skills,0
Easy Income Job,49858 per month,Company promises instant returns,"No interview, just register online",1
International Job With Free Visa,12160 per month,"No official address, only online presence",Click ads and get paid instantly,1
Get Paid Daily From Home,42166 per month,Newly launched company offering huge income,"No interview, just register online",1
Easy Income Job,25743 per month,"No official address, only online presence",Click ads and get paid instantly,1
Graphic Designer,32019 per annum,Fast-growing SaaS startup based in India,"Experience in marketing campaigns, content creation",0
Freelance Job Without Skills,29046 per month,Newly launched company offering huge income,"No interview, just register online",1
Data Analyst,40337 per annum,Leading marketing firm in the US,"Bachelor's degree, 2+ years experience, strong communication skills",0
Financial Analyst,36188 per annum,Trusted e-commerce platform,"Knowledge of Adobe Photoshop, creativity required",0
Graphic Designer,45334 per annum,Trusted e-commerce platform,"Proficient in Python and SQL, good analytical skills",0
Software Engineer,38769 per annum,Trusted e-commerce platform,Excellent communication and multitasking skills,0
Customer Support Executive,67812 per annum,Global finance corporation with 500+ employees,"Bachelor's degree, 2+ years experience, strong communication skills",0
Marketing Manager,35087 per annum,Fast-growing SaaS startup based in India,Excellent communication and multitasking skills,0
Freelance Job Without Skills,34854 per month,Company promises instant returns,Work 2 hours a day and earn big,1
Sales Associate,47966 per annum,Fast-growing SaaS startup based in India,"Experience in marketing campaigns, content creation",0
Web Developer,85448 per annum,Global finance corporation with 500+ employees,"Experience in marketing campaigns, content creation",0
Easy Income Job,35355 per month,No verified contact details available,"Immediate start, limited positions available",1
Data Analyst,77257 per annum,Fast-growing SaaS startup based in India,Excellent communication and multitasking skills,0
Graphic Designer,87393 per annum,Trusted e-commerce platform,"Proficient in Python and SQL, good analytical skills",0
HR Specialist,53890 per annum,Fast-growing SaaS startup based in India,"Experience in marketing campaigns, content creation",0
Graphic Designer,60803 per annum,Fast-growing SaaS startup based in India,"Bachelor's degree, 2+ years experience, strong communication skills",0
Easy Income Job,24836 per month,No verified contact details available,"No interview, just register online",1
Graphic Designer,89831 per annum,Trusted e-commerce platform,"Bachelor's degree, 2+ years experience, strong communication skills",0
Online Form Filling Job,20657 per month,No verified contact details available,"Immediate start, limited positions available",1
Online Form Filling Job,23340 per month,"No official address, only online presence","No interview, just register online",1
Urgent Hiring - No Interview,48922 per month,Fake testimonials and unverifiable claims,"Immediate start, limited positions available",1
Sales Associate,45684 per annum,Leading marketing firm in the US,"Bachelor's degree, 2+ years experience, strong communication skills",0
Sales Associate,58287 per annum,Trusted e-commerce platform,"Bachelor's degree, 2+ years experience, strong communication skills",0
Data Entry Without Experience,36760 per month,No verified contact details available,"No interview, just register online",1
HR Specialist,70936 per annum,Reputed IT company with 10 years of experience,"Proficient in Python and SQL, good analytical skills",0
Part-Time Typing Job,32676 per month,No verified contact details available,Click ads and get paid instantly,1
Work From Home - Earn $5000 Weekly,29307 per month,Company promises instant returns,"No experience required, just internet access",1
Web Developer,73432 per annum,Leading marketing firm in the US,"Bachelor's degree, 2+ years experience, strong communication skills",0
Easy Income Job,22786 per month,"No official address, only online presence",Click ads and get paid instantly,1
Network Administrator,39540 per annum,Trusted e-commerce platform,"Experience in marketing campaigns, content creation",0
Customer Support Executive,59109 per annum,Trusted e-commerce platform,"Proficient in Python and SQL, good analytical skills",0
Data Analyst,33120 per annum,Reputed IT company with 10 years of experience,Excellent communication and multitasking skills,0
Freelance Job Without Skills,16242 per month,"No official address, only online presence","Immediate start, limited positions available",1
Freelance Job Without Skills,27616 per month,Fake testimonials and unverifiable claims,"No interview, just register online",1
Customer Support Executive,42631 per annum,Leading marketing firm in the US,Excellent communication and multitasking skills,0
Instant Joining Job,12653 per month,No verified contact details available,Work 2 hours a day and earn big,1
Marketing Manager,59466 per annum,Leading marketing firm in the US,"Knowledge of Adobe Photoshop, creativity required",0
Freelance Job Without Skills,42003 per month,No verified contact details available,Work 2 hours a day and earn big,1
Sales Associate,48669 per annum,Global finance corporation with 500+ employees,Excellent communication and multitasking skills,0
Data Entry Without Experience,23991 per month,"No official address, only online presence","Immediate start, limited positions available",1
Easy Income Job,20823 per month,"No official address, only online presence",Click ads and get paid instantly,1
Work From Home - Earn $5000 Weekly,17718 per month,Newly launched company offering huge income,"Immediate start, limited positions available",1
Online Form Filling Job,14840 per month,Company promises instant returns,"No experience required, just internet access",1
Financial Analyst,38601 per annum,Global finance corporation with 500+ employees,"Knowledge of Adobe Photoshop, creativity required",0
Part-Time Typing Job,49717 per month,Newly launched company offering huge income,"No experience required, just internet access",1
Sales Associate,73826 per annum,Global finance corporation with 500+ employees,"Experience in marketing campaigns, content creation",0
Online Form Filling Job,11187 per month,"No official address, only online presence","Immediate start, limited positions available",1
Sales Associate,36647 per annum,Trusted e-commerce platform,"Knowledge of Adobe Photoshop, creativity required",0
Urgent Hiring - No Interview,30564 per month,Fake testimonials and unverifiable claims,"No experience required, just internet access",1
Data Analyst,50161 per annum,Reputed IT company with 10 years of experience,"Experience in marketing campaigns, content creation",0
Freelance Job Without Skills,11845 per month,"No official address, only online presence",Click ads and get paid instantly,1
Network Administrator,50481 per annum,Reputed IT company with 10 years of experience,Excellent communication and multitasking skills,0
Customer Support Executive,42686 per annum,Leading marketing firm in the US,"Experience in marketing campaigns, content creation",0
Marketing Manager,48559 per annum,Global finance corporation with 500+ employees,"Proficient in Python and SQL, good analytical skills",0
Instant Joining Job,14883 per month,Fake testimonials and unverifiable claims,"No experience required, just internet access",1
HR Specialist,53485 per annum,Leading marketing firm in the US,"Experience in marketing campaigns, content creation",0
Customer Support Executive,34327 per annum,Global finance corporation with 500+ employees,Excellent communication and multitasking skills,0
Urgent Hiring - No Interview,11083 per month,Company promises instant returns,Work 2 hours a day and earn big,1
Financial Analyst,86857 per annum,Reputed IT company with 10 years of experience,"Knowledge of Adobe Photoshop, creativity required",0
Customer Support Executive,60381 per annum,Global finance corporation with 500+ employees,"Experience in marketing campaigns, content creation",0
Network Administrator,81201 per annum,Global finance corporation with 500+ employees,"Proficient in Python and SQL, good analytical skills",0
Data Entry Without Experience,43856 per month,Company promises instant returns,Click ads and get paid instantly,1
Software Engineer,40603 per annum,Reputed IT company with 10 years of experience,"Experience in marketing campaigns, content creation",0
Data Analyst,60058 per annum,Reputed IT company with 10 years of experience,Excellent communication and multitasking skills,0
Sales Associate,72260 per annum,Reputed IT company with 10 years of experience,"Knowledge of Adobe Photoshop, creativity required",0
International Job With Free Visa,20276 per month,Company promises instant returns,"No experience required, just internet access",1
Financial Analyst,37909 per annum,Leading marketing firm in the US,Excellent communication and multitasking skills,0
Work From Home - Earn $5000 Weekly,21509 per month,Newly launched company offering huge income,"Immediate start, limited positions available",1
Graphic Designer,44707 per annum,Trusted e-commerce platform,Excellent communication and multitasking skills,0
Marketing Manager,70085 per annum,Global finance corporation with 500+ employees,"Bachelor's degree, 2+ years experience, strong communication skills",0
International Job With Free Visa,41010 per month,Fake testimonials and unverifiable claims,Work 2 hours a day and earn big,1
Web Developer,40016 per annum,Reputed IT company with 10 years of experience,"Proficient in Python and SQL, good analytical skills",0
Web Developer,69421 per annum,Global finance corporation with 500+ employees,Excellent communication and multitasking skills,0
Marketing Manager,68710 per annum,Trusted e-commerce platform,"Bachelor's degree, 2+ years experience, strong communication skills",0
Work From Home - Earn $5000 Weekly,33693 per month,Newly launched company offering huge income,"Immediate start, limited positions available",1
Sales Associate,42893 per annum,Reputed IT company with 10 years of experience,"Proficient in Python and SQL, good analytical skills",0
Network Administrator,77592 per annum,Fast-growing SaaS startup based in India,"Experience in marketing campaigns, content creation",0
Marketing Manager,70464 per annum,Reputed IT company with 10 years of experience,"Experience in marketing campaigns, content creation",0
Marketing Manager,75330 per annum,Trusted e-commerce platform,Excellent communication and multitasking skills,0
Customer Support Executive,76333 per annum,Global finance corporation with 500+ employees,"Experience in marketing campaigns, content creation",0
Easy Income Job,21745 per month,Company promises instant returns,Click ads and get paid instantly,1
Sales Associate,48201 per annum,Reputed IT company with 10 years of experience,"Experience in marketing campaigns, content creation",0
Urgent Hiring - No Interview,31689 per month,Fake testimonials and unverifiable claims,Click ads and get paid instantly,1
Freelance Job Without Skills,23390 per month,Company promises instant returns,Work 2 hours a day and earn big,1
Work From Home - Earn $5000 Weekly,48941 per month,Fake testimonials and unverifiable claims,Click ads and get paid instantly,1
Work From Home - Earn $5000 Weekly,15118 per month,Fake testimonials and unverifiable claims,"No interview, just register online",1
Customer Support Executive,65173 per annum,Trusted e-commerce platform,"Bachelor's degree, 2+ years experience, strong communication skills",0
Software Engineer,70892 per annum,Global finance corporation with 500+ employees,"Experience in marketing campaigns, content creation",0
Urgent Hiring - No Interview,48408 per month,No verified contact details available,"Immediate start, limited positions available",1
Part-Time Typing Job,21503 per month,No verified contact details available,"No interview, just register online",1
Customer Support Executive,87711 per annum,Reputed IT company with 10 years of experience,"Bachelor's degree, 2+ years experience, strong communication skills",0
International Job With Free Visa,14220 per month,Company promises instant returns,Work 2 hours a day and earn big,1
Freelance Job Without Skills,26341 per month,Newly launched company offering huge income,"No interview, just register online",1
Network Administrator,73503 per annum,Reputed IT company with 10 years of experience,"Knowledge of Adobe Photoshop, creativity required",0
Web Developer,36735 per annum,Reputed IT company with 10 years of experience,Excellent communication and multitasking skills,0
International Job With Free Visa,44763 per month,No verified contact details available,"No experience required, just internet access",1
Financial Analyst,60622 per annum,Trusted e-commerce platform,"Proficient in Python and SQL, good analytical skills",0
Software Engineer,37256 per annum,Reputed IT company with 10 years of experience,"Experience in marketing campaigns, content creation",0
Data Analyst,54618 per annum,Fast-growing SaaS startup based in India,"Knowledge of Adobe Photoshop, creativity required",0
Work From Home - Earn $5000 Weekly,47511 per month,Fake testimonials and unverifiable claims,Click ads and get paid instantly,1
Graphic Designer,49086 per annum,Leading marketing firm in the US,"Bachelor's degree, 2+ years experience, strong communication skills",0
Software Engineer,68659 per annum,Trusted e-commerce platform,"Experience in marketing campaigns, content creation",0
International Job With Free Visa,37016 per month,Newly launched company offering huge income,"Immediate start, limited positions available",1
Marketing Manager,48716 per annum,Reputed IT company with 10 years of experience,"Knowledge of Adobe Photoshop, creativity required",0
Software Engineer,49143 per annum,Leading marketing firm in the US,"Bachelor's degree, 2+ years experience, strong communication skills",0
HR Specialist,47491 per annum,Global finance corporation with 500+ employees,Excellent communication and multitasking skills,0
Online Form Filling Job,25432 per month,No verified contact details available,"No interview, just register online",1
Marketing Manager,33229 per annum,Global finance corporation with 500+ employees,Excellent communication and multitasking skills,0
Customer Support Executive,56818 per annum,Trusted e-commerce platform,"Bachelor's degree, 2+ years experience, strong communication skills",0
Financial Analyst,56424 per annum,Reputed IT company with 10 years of experience,Excellent communication and multitasking skills,0
Customer Support Executive,60219 per annum,Fast-growing SaaS startup based in India,"Experience in marketing campaigns, content creation",0
Customer Support Executive,80911 per annum,Trusted e-commerce platform,"Knowledge of Adobe Photoshop, creativity required",0
Instant Joining Job,39947 per month,"No official address, only online presence","No interview, just register online",1
Online Form Filling Job,38761 per month,Newly launched company offering huge income,Work 2 hours a day and earn big,1
Work From Home - Earn $5000 Weekly,11298 per month,Newly launched company offering huge income,Work 2 hours a day and earn big,1
Instant Joining Job,45068 per month,"No official address, only online presence","Immediate start, limited positions available",1
Graphic Designer,68864 per annum,Trusted e-commerce platform,"Proficient in Python and SQL, good analytical skills",0
Freelance Job Without Skills,11789 per month,No verified contact details available,Work 2 hours a day and earn big,1
Web Developer,55428 per annum,Leading marketing firm in the US,"Experience in marketing campaigns, content creation",0
Data Entry Without Experience,38076 per month,"No official address, only online presence",Work 2 hours a day and earn big,1
Get Paid Daily From Home,40616 per month,"No official address, only online presence",Click ads and get paid instantly,1
Easy Income Job,42916 per month,"No official address, only online presence","No interview, just register online",1
Easy Income Job,40222 per month,Fake testimonials and unverifiable claims,"No interview, just register online",1
Customer Support Executive,69189 per annum,Trusted e-commerce platform,"Proficient in Python and SQL, good analytical skills",0
Data Entry Without Experience,33393 per month,Company promises instant returns,"No experience required, just internet access",1
International Job With Free Visa,43496 per month,Company promises instant returns,Work 2 hours a day and earn big,1
Data Analyst,54896 per annum,Global finance corporation with 500+ employees,"Bachelor's degree, 2+ years experience, strong communication skills",0
Data Entry Without Experience,38897 per month,"No official address, only online presence",Work 2 hours a day and earn big,1
Customer Support Executive,83680 per annum,Global finance corporation with 500+ employees,"Knowledge of Adobe Photoshop, creativity required",0
Network Administrator,87661 per annum,Reputed IT company with 10 years of experience,"Bachelor's degree, 2+ years experience, strong communication skills",0
Network Administrator,42159 per annum,Trusted e-commerce platform,"Bachelor's degree, 2+ years experience, strong communication skills",0
Customer Support Executive,71021 per annum,Global finance corporation with 500+ employees,Excellent communication and multitasking skills,0
Software Engineer,57831 per annum,Trusted e-commerce platform,"Proficient in Python and SQL, good analytical skills",0
Data Entry Without Experience,15707 per month,"No official address, only online presence","No experience required, just internet access",1
Data Analyst,43799 per annum,Trusted e-commerce platform,"Experience in marketing campaigns, content creation",0
Web Developer,61542 per annum,Fast-growing SaaS startup based in India,Excellent communication and multitasking skills,0
Data Analyst,35683 per annum,Leading marketing firm in the US,"Bachelor's degree, 2+ years experience, strong communication skills",0
Freelance Job Without Skills,36446 per month,Fake testimonials and unverifiable claims,"No experience required, just internet access",1
Software Engineer,31863 per annum,Trusted e-commerce platform,"Bachelor's degree, 2+ years experience, strong communication skills",0
Software Engineer,56900 per annum,Trusted e-commerce platform,"Proficient in Python and SQL, good analytical skills",0
Work From Home - Earn $5000 Weekly,11488 per month,Company promises instant returns,Click ads and get paid instantly,1
Software Engineer,37376 per annum,Fast-growing SaaS startup based in India,"Experience in marketing campaigns, content creation",0
Data Analyst,85077 per annum,Fast-growing SaaS startup based in India,"Knowledge of Adobe Photoshop, creativity required",0
Instant Joining Job,43239 per month,Company promises instant returns,Work 2 hours a day and earn big,1
Financial Analyst,58371 per annum,Fast-growing SaaS startup based in India,"Bachelor's degree, 2+ years experience, strong communication skills",0
Work From Home - Earn $5000 Weekly,30831 per month,Newly launched company offering huge income,"No experience required, just internet access",1
Data Entry Without Experience,28555 per month,Newly launched company offering huge income,"Immediate start, limited positions available",1
Part-Time Typing Job,18608 per month,Newly launched company offering huge income,Click ads and get paid instantly,1
Instant Joining Job,31749 per month,Newly launched company offering huge income,Work 2 hours a day and earn big,1
Marketing Manager,44180 per annum,Global finance corporation with 500+ employees,Excellent communication and multitasking skills,0
Financial Analyst,35427 per annum,Trusted e-commerce platform,Excellent communication and multitasking skills,0
Customer Support Executive,85574 per annum,Fast-growing SaaS startup based in India,"Knowledge of Adobe Photoshop, creativity required",0
Easy Income Job,35447 per month,"No official address, only online presence","No interview, just register online",1
Graphic Designer,74901 per annum,Leading marketing firm in the US,"Knowledge of Adobe Photoshop, creativity required",0
Software Engineer,30504 per annum,Trusted e-commerce platform,"Bachelor's degree, 2+ years experience, strong communication skills",0
Web Developer,83385 per annum,Reputed IT company with 10 years of experience,"Proficient in Python and SQL, good analytical skills",0
Network Administrator,63850 per annum,Global finance corporation with 500+ employees,Excellent communication and multitasking skills,0
Instant Joining Job,28888 per month,Newly launched company offering huge income,"Immediate start, limited positions available",1
Graphic Designer,56710 per annum,Global finance corporation with 500+ employees,"Experience in marketing campaigns, content creation",0
Work From Home - Earn $5000 Weekly,12698 per month,Fake testimonials and unverifiable claims,"Immediate start, limited positions available",1
HR Specialist,33147 per annum,Trusted e-commerce platform,"Knowledge of Adobe Photoshop, creativity required",0
Financial Analyst,78298 per annum,Leading marketing firm in the US,"Experience in marketing campaigns, content creation",0
Sales Associate,60038 per annum,Global finance corporation with 500+ employees,"Experience in marketing campaigns, content creation",0
Data Entry Without Experience,27348 per month,Company promises instant returns,Click ads and get paid instantly,1
Software Engineer,49959 per annum,Fast-growing SaaS startup based in India,"Knowledge of Adobe Photoshop, creativity required",0
Online Form Filling Job,26371 per month,Fake testimonials and unverifiable claims,"No interview, just register online",1
Online Form Filling Job,30499 per month,Company promises instant returns,"Immediate start, limited positions available",1
HR Specialist,59368 per annum,Reputed IT company with 10 years of experience,"Knowledge of Adobe Photoshop, creativity required",0
Easy Income Job,44375 per month,Company promises instant returns,"No interview, just register online",1
Network Administrator,72908 per annum,Trusted e-commerce platform,"Knowledge of Adobe Photoshop, creativity required",0
Financial Analyst,69769 per annum,Trusted e-commerce platform,Excellent communication and multitasking skills,0
Web Developer,54138 per annum,Global finance corporation with 500+ employees,"Experience in marketing campaigns, content creation",0
Marketing Manager,43998 per annum,Global finance corporation with 500+ employees,Excellent communication and multitasking skills,0
Data Analyst,34592 per annum,Fast-growing SaaS startup based in India,"Bachelor's degree, 2+ years experience, strong communication skills",0
International Job With Free Visa,39545 per month,Company promises instant returns,"No interview, just register online",1
Network Administrator,65176 per annum,Reputed IT company with 10 years of experience,"Bachelor's degree, 2+ years experience, strong communication skills",0
Network Administrator,68669 per annum,Trusted e-commerce platform,"Knowledge of Adobe Photoshop, creativity required",0
Online Form Filling Job,36260 per month,"No official address, only online presence",Click ads and get paid instantly,1
HR Specialist,48393 per annum,Fast-growing SaaS startup based in India,"Proficient in Python and SQL, good analytical skills",0
Software Engineer,77983 per annum,Reputed IT company with 10 years of experience,Excellent communication and multitasking skills,0
Software Engineer,60181 per annum,Trusted e-commerce platform,"Experience in marketing campaigns, content creation",0
Data Entry Without Experience,40056 per month,Newly launched company offering huge income,"Immediate start, limited positions available",1
Web Developer,30537 per annum,Fast-growing SaaS startup based in India,"Experience in marketing campaigns, content creation",0
Part-Time Typing Job,13695 per month,No verified contact details available,"No experience required, just internet access",1
HR Specialist,80588 per annum,Fast-growing SaaS startup based in India,Excellent communication and multitasking skills,0
Part-Time Typing Job,25873 per month,Company promises instant returns,"No experience required, just internet access",1
Part-Time Typing Job,36632 per month,No verified contact details available,Work 2 hours a day and earn big,1
Web Developer,87448 per annum,Global finance corporation with 500+ employees,"Bachelor's degree, 2+ years experience, strong communication skills",0
International Job With Free Visa,29325 per month,No verified contact details available,Click ads and get paid instantly,1
Instant Joining Job,19447 per month,"No official address, only online presence",Work 2 hours a day and earn big,1
Part-Time Typing Job,25212 per month,"No official address, only online presence","No experience required, just internet access",1
Part-Time Typing Job,37497 per month,Fake testimonials and unverifiable claims,"No experience required, just internet access",1
Graphic Designer,48598 per annum,Reputed IT company with 10 years of experience,"Proficient in Python and SQL, good analytical skills",0
Graphic Designer,87988 per annum,Global finance corporation with 500+ employees,"Knowledge of Adobe Photoshop, creativity required",0
Data Analyst,53212 per annum,Reputed IT company with 10 years of experience,Excellent communication and multitasking skills,0
Software Engineer,78016 per annum,Trusted e-commerce platform,Excellent communication and multitasking skills,0
Work From Home - Earn $5000 Weekly,29372 per month,No verified contact details available,"No experience required, just internet access",1
Financial Analyst,68985 per annum,Reputed IT company with 10 years of experience,"Experience in marketing campaigns, content creation",0
Data Analyst,80743 per annum,Trusted e-commerce platform,"Experience in marketing campaigns, content creation",0
Sales Associate,31987 per annum,Reputed IT company with 10 years of experience,"Knowledge of Adobe Photoshop, creativity required",0
International Job With Free Visa,34087 per month,No verified contact details available,Click ads and get paid instantly,1
Financial Analyst,48210 per annum,Trusted e-commerce platform,"Knowledge of Adobe Photoshop, creativity required",0
Data Entry Without Experience,40629 per month,Company promises instant returns,"No experience required, just internet access",1
HR Specialist,38075 per annum,Trusted e-commerce platform,"Bachelor's degree, 2+ years experience, strong communication skills",0
Financial Analyst,30202 per annum,Leading marketing firm in the US,"Proficient in Python and SQL, good analytical skills",0
Data Analyst,85965 per annum,Fast-growing SaaS startup based in India,"Bachelor's degree, 2+ years experience, strong communication skills",0
Freelance Job Without Skills,23986 per month,No verified contact details available,"No interview, just register online",1
Network Administrator,37790 per annum,Leading marketing firm in the US,"Experience in marketing campaigns, content creation",0
Web Developer,52827 per annum,Reputed IT company with 10 years of experience,"Experience in marketing campaigns, content creation",0
Online Form Filling Job,24565 per month,Company promises instant returns,Click ads and get paid instantly,1
Urgent Hiring - No Interview,19950 per month,"No official address, only online presence",Work 2 hours a day and earn big,1
Part-Time Typing Job,18842 per month,No verified contact details available,"No experience required, just internet access",1
Sales Associate,81784 per annum,Trusted e-commerce platform,"Proficient in Python and SQL, good analytical skills",0
Financial Analyst,74282 per annum,Leading marketing firm in the US,"Proficient in Python and SQL, good analytical skills",0
Marketing Manager,53726 per annum,Trusted e-commerce platform,Excellent communication and multitasking skills,0
HR Specialist,47444 per annum,Trusted e-commerce platform,"Bachelor's degree, 2+ years experience, strong communication skills",0
